Route ID:,Route Location:,Is this route predominantly residential or commercial/industrial/mixed use?,Select the statement that best describes the amount and distribution of litter in the street.,ObjectID,Does litter obstruct the street?,Select the statement that best describes the amount and distribution of litter on the sidewalk.,How many large abandoned items are present?,What types of items are present? (select all that apply),Other dumped items:,Does illegal dumping obstruct the street?,How many instances of graffiti are present on private property or on the sidewalk or non-painted curb immediately adjacent to private property?,How many instances of graffiti are present on SF gov property?,How many instances of graffiti are present on other property?,Select the statement that best describes the amount and distribution of broken glass on the street and sidewalk:,How many instances of broken glass are present along the sidewalk and street?,How many instances of feces are present?,How many abandoned syringes are present?,How many used or opened condoms are present?,How many dead animals are present?,Does the route have one or more trash receptacles?,Are any trash receptacles overflowing?,Is sidewalk clearance less than 4 feet wide or 8 feet high at any point?,"If yes, identify the cause (select all that apply)",Other sidewalk obstructions:,Does the sidewalk have any defects that have not been marked for repair?,Does the sidewalk have any marked defects that have not been repaired?,How severe are the pavement defects?,Do you detect any strong unpleasant or offensive odors along the street or sidewalk?,"If yes, is the odor from a sewer or catch basin?",Does the route have one or more transit shelters?,Which of the following issues are present in or on any of the transit shelters along the route?,CreationDate,Analysis Neighborhoods,Evaluation Period,"Does any graffiti include offensive language  (e.g., racial slurs or profanity)?",Does any graffiti appear to be stenciled?,"Are there closed, unlabeled trash bags grouped together? (July 2023-June 2024 only)",Is the pile of item(s) more than 8ft in diameter? (July 2023-June 2024 only)
5969,CASTRO ST BETWEEN 14TH ST AND HENRY ST,2,2,45,0,2,1,16,,0,0,3,8,1,,6,0,0,0,0,0,0,,,1,0,2,0,,0,,08/21/2023 05:26:26 PM,3 - Castro/Upper Market,July 2023 - June 2024,0,0,0,0
9477,MARKET ST BETWEEN 16TH ST AND 17TH ST,1,2,46,0,3,6,419161715,,0,19,17,2,2,1,3,0,0,0,1,0,0,,,0,0,,0,,1,5612,08/21/2023 06:08:18 PM,3 - Castro/Upper Market,July 2023 - June 2024,0,0,0,0
5081,40TH AVE BETWEEN QUINTARA ST AND RIVERA ST,2,2,64,0,2,1,15,,0,0,2,0,1,,1,0,0,0,0,0,0,,,1,0,1,0,,0,,08/22/2023 05:10:04 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
14841,WAWONA ST BETWEEN 42ND AVE AND 43RD AVE,2,2,68,0,2,1,19,,0,0,0,6,4,1,0,0,0,0,0,0,0,,,1,0,1,0,,0,,08/22/2023 06:13:03 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
13701,CLEARFIELD DR BETWEEN MORNINGSIDE DR AND OCEAN AVE,1,2,73,0,2,1,0,shopping cart,0,2,5,0,1,,1,0,0,0,0,0,0,,,0,0,,0,,0,,08/22/2023 08:32:15 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
11464,TARAVAL ST BETWEEN 30TH AVE AND 31ST AVE,1,2,80,0,2,1,16,,0,0,1,0,1,,0,0,0,0,0,0,0,,,0,1,2,0,,0,,08/22/2023 10:53:40 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
339,18TH ST BETWEEN ILLINOIS ST AND 03RD ST,1,2,90,0,2,1,15,,0,0,4,0,1,,0,0,0,0,0,0,1,2,,0,0,,0,,0,,08/28/2023 09:31:20 PM,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,0,0
4639,22ND AVE BETWEEN GEARY BLVD AND ANZA ST,2,2,92,0,2,1,0,plastic panels,0,12,22,4,1,,0,0,0,0,0,0,0,,,1,1,2,0,,0,,08/29/2023 05:09:19 PM,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,0,0
7795,ANZA ST BETWEEN 27TH AVE AND 28TH AVE,2,2,96,0,2,1,15,,0,0,1,0,2,1,0,0,0,0,0,0,1,12,,0,0,,0,,0,,08/29/2023 06:12:22 PM,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,0,0
14125,SANSOME ST BETWEEN PACIFIC AVE AND BROADWAY,1,2,108,0,2,1,0,Large empty water jug,0,42,7,2,2,1,1,0,0,0,1,0,0,,,1,0,2,1,0,0,,08/29/2023 07:58:50 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0
12754,MISSION ROCK ST BETWEEN 03RD ST AND 04TH ST,1,2,111,0,2,7,19516,,0,0,10,0,2,2,20,0,0,0,1,0,0,,,1,0,2,0,,0,,08/29/2023 08:24:40 PM,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,0,0
16997,HODGES ALY BETWEEN VALLEJO ST AND END: 1-99 BLOCK,2,2,112,0,2,1,19,,0,0,5,0,1,,0,0,0,0,0,0,1,313012,Planters,1,0,1,0,,0,,08/29/2023 08:33:32 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0
15945,VALLEJO ST BETWEEN HODGES ALY AND BARTOL ST,2,2,113,0,2,2,216,,0,0,5,0,2,1,0,0,0,0,0,0,0,,,0,0,,0,,0,,08/29/2023 08:38:43 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0
5060,38TH AVE BETWEEN CABRILLO ST AND FULTON ST,2,2,125,0,2,4,21617,,0,0,1,2,1,,0,0,0,0,0,0,0,,,0,0,,0,,0,,08/29/2023 10:02:49 PM,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,0,0
4679,23RD ST BETWEEN TENNESSEE ST AND INDIANA ST,1,2,151,0,2,5,4,,0,2,32,15,1,,5,0,0,0,1,0,0,,,1,0,2,0,,0,,08/30/2023 07:53:31 PM,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,0,0
6738,HOLLOWAY AVE BETWEEN JUNIPERO SERRA BLVD AND STRATFORD DR,2,2,157,0,2,2,417,,0,1,2,10,4,2,0,0,0,0,0,0,1,130,No parking sign,1,0,1,0,,0,,08/30/2023 08:38:01 PM,11 - West of Twin Peaks,July 2023 - June 2024,0,0,0,0
13348,TOWNSEND ST BETWEEN 03RD ST AND RITCH ST,1,2,169,0,2,1,18,,0,7,20,0,1,,0,0,0,0,1,0,0,,,0,0,,0,,0,,08/30/2023 10:19:06 PM,23 - South of Market,July 2023 - June 2024,0,0,0,0
14459,RIZAL ST BETWEEN TANDANG SORA AND LAPU-LAPU ST,1,2,170,0,2,1,4,,0,2,1,0,1,,0,0,0,0,0,0,0,,,0,0,,0,,0,,08/30/2023 10:39:28 PM,23 - South of Market,July 2023 - June 2024,0,0,0,0
9232,JACKSON ST BETWEEN BRODERICK ST AND BAKER ST,2,2,180,0,3,3,160,Empty suitcases,0,0,4,0,4,1,1,0,0,0,0,0,0,,,1,0,1,0,,0,,08/31/2023 07:26:34 PM,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0
10178,JACKSON ST BETWEEN PIERCE ST AND SCOTT ST,2,3,181,0,2,1,0,Sport net with poorly visible loose leaf paper note that says recology leaning against mailbox,0,0,7,0,2,1,0,0,0,0,1,1,0,,,0,0,,0,,0,,08/31/2023 07:45:45 PM,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0
15624,WASHINGTON ST BETWEEN FILLMORE ST AND STEINER ST,2,4,184,0,2,3,17,Bag of sand by light post,0,0,3,0,2,1,0,0,0,0,1,1,0,,,1,0,2,0,,0,,08/31/2023 08:32:25 PM,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0
11158,SOUTH VAN NESS AVE BETWEEN 13TH ST AND ERIE ST,1,5,193,0,5,2,17,,0,0,15,0,3,1,9,0,0,0,0,0,0,,,1,0,1,0,,0,,09/05/2023 09:37:57 PM,20 - Mission,July 2023 - June 2024,0,0,0,0
17060,MCALLISTER ST BETWEEN LAGUNA ST AND BUCHANAN ST,2,2,195,0,2,1,19,,0,0,5,2,4,1,2,0,0,0,0,0,0,,,1,1,2,0,,1,7,09/06/2023 04:42:42 PM,22 - Western Addition,July 2023 - June 2024,0,0,0,0
15569,WEBSTER ST BETWEEN EDDY ST AND ELLIS ST,1,2,197,0,3,1,18,,0,2,9,0,1,,3,0,0,0,0,0,0,,,1,0,2,0,,0,,09/06/2023 05:16:52 PM,22 - Western Addition,July 2023 - June 2024,0,0,0,0
13765,STEINER ST BETWEEN MCALLISTER ST AND GOLDEN GATE AVE,2,2,203,0,2,1,17,,0,7,1,0,1,,1,0,0,0,1,0,0,,,1,0,2,0,,0,,09/06/2023 06:44:57 PM,22 - Western Addition,July 2023 - June 2024,0,0,0,0
9482,STEINER ST BETWEEN FULTON ST AND MCALLISTER ST,2,2,204,0,3,1,16,,0,2,5,2,1,,1,0,0,0,0,0,0,,,1,1,3,0,,0,,09/06/2023 06:56:47 PM,22 - Western Addition,July 2023 - June 2024,0,0,0,0
9940,ROSELYN TER BETWEEN TURK BLVD AND GOLDEN GATE AVE,2,2,217,0,2,1,16,,0,0,1,0,2,1,0,0,0,0,0,0,0,,,0,1,1,0,,0,,09/07/2023 05:22:51 PM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
13906,WOOD ST BETWEEN GEARY BLVD AND ANZA ST,2,2,219,0,2,1,17,,0,1,12,7,1,,3,0,0,0,0,0,0,,,0,1,2,0,,0,,09/07/2023 05:51:50 PM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
1947,GEARY BLVD BETWEEN 14TH AVE AND 15TH AVE,1,2,227,0,2,1,19,,0,2,19,1,1,,1,0,0,0,0,0,0,,,1,0,2,0,,0,,09/07/2023 09:54:26 PM,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,0,0
2043,29TH AVE BETWEEN ULLOA ST AND VICENTE ST,2,2,231,0,2,1,16,,0,0,2,5,1,,1,0,0,0,0,0,0,,,1,0,2,0,,0,,09/07/2023 11:28:43 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
13582,CLINTON PARK BETWEEN STEVENSON ST AND VALENCIA ST,1,2,237,0,5,3,216,,0,100,0,0,1,,0,0,0,0,0,0,1,8129,,0,0,,0,,0,,09/12/2023 09:18:06 PM,20 - Mission,July 2023 - June 2024,0,0,0,0
3475,BANCROFT AVE BETWEEN INGALLS ST AND JENNINGS ST,1,3,242,0,3,3,16,,0,3,0,0,3,3,0,0,0,0,0,0,1,122,,0,0,,0,,0,,09/13/2023 06:19:39 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
4996,VAN DYKE AVE BETWEEN KEITH ST AND LANE ST,2,3,243,0,3,1,16,,0,0,1,3,3,2,3,0,0,0,0,0,0,,,0,1,2,0,,0,,09/13/2023 06:41:34 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
16143,UNDERWOOD AVE BETWEEN LANE ST AND 03RD ST,2,3,244,0,3,1,2,,0,5,6,6,4,1,6,0,0,0,0,0,0,,,0,0,,0,,0,,09/13/2023 06:53:13 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
10482,MENDELL ST BETWEEN WILLIAMS AVE AND YOSEMITE AVE,1,2,245,0,2,7,1716,,0,2,5,1,1,,12,0,0,0,0,0,0,,,0,0,,0,,0,,09/13/2023 07:06:51 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
13990,SHAFTER AVE BETWEEN KEITH ST AND LANE ST,2,2,249,0,3,1,15,,0,0,3,2,4,1,10,0,0,0,0,0,1,12,,1,0,3,0,,0,,09/13/2023 09:25:42 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
3903,INGALLS ST BETWEEN PALOU AVE AND QUESADA AVE,2,3,250,0,4,4,1716,,0,0,3,12,1,,1,0,0,0,0,0,1,12,,1,0,2,0,,0,,09/13/2023 09:43:48 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
7223,GILLETTE AVE BETWEEN BLANKEN AVE AND NIBBI CT,2,2,252,0,3,1,17,,0,0,1,1,1,,0,0,0,0,0,0,0,,,0,1,2,0,,0,,09/13/2023 10:50:56 PM,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,0,0
4874,BURNETT AVE BETWEEN PARKRIDGE DR AND FENTON LN,2,2,255,0,2,3,151619,,0,2,2,4,1,,0,0,0,0,1,0,0,,,1,0,2,0,,1,1,09/14/2023 05:19:37 PM,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,0,0
1649,COLE ST BETWEEN CARL ST AND PARNASSUS AVE,1,2,267,0,3,2,515,,0,1,1,1,1,,0,0,0,0,1,0,0,,,1,0,3,0,,1,1,09/14/2023 11:11:36 PM,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,0,0
8710,DWIGHT ST BETWEEN DARTMOUTH ST AND COLBY ST,2,2,269,0,2,2,15,,0,0,0,1,1,,1,0,0,0,0,0,0,,,0,0,,0,,0,,09/15/2023 04:57:14 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
6019,GIRARD ST BETWEEN WOOLSEY ST AND DWIGHT ST,2,4,274,0,3,1,17,,0,0,3,3,1,,1,0,0,0,0,0,1,12,,1,0,2,0,,0,,09/15/2023 06:22:47 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
16785,WAYLAND ST BETWEEN GOETTINGEN ST AND SOMERSET ST,2,2,276,0,4,1,15,,0,0,2,1,1,,10,0,0,0,0,0,0,,,0,0,,0,,0,,09/15/2023 07:08:47 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
6718,HOLYOKE ST BETWEEN FELTON ST AND BURROWS ST,2,3,277,0,3,1,18,,0,0,0,2,1,,4,0,0,0,0,0,0,,,1,0,2,0,,0,,09/15/2023 07:28:19 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
9592,NAPLES ST BETWEEN SILVER AVE AND PERU AVE,2,2,281,0,4,10,171615,,0,0,1,1,1,,0,0,0,0,0,0,0,,,0,1,3,0,,0,,09/15/2023 09:15:19 PM,5 - Excelsior,July 2023 - June 2024,0,0,0,0
5994,CAPITOL AVE BETWEEN BROAD ST AND FARALLONES ST,2,3,296,0,4,3,161715,,0,1,7,7,2,1,0,0,0,0,0,0,1,12,,0,0,,0,,0,,09/18/2023 06:45:21 PM,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,0,0
10167,PANAMA ST BETWEEN BELLE AVE AND END: 100-199 BLOCK,2,3,307,0,2,1,17,,0,0,4,0,2,1,0,0,0,0,0,0,1,121303,Sidewalk not continuous and lacks space on Niantic;  not continuous on Panama,1,0,2,0,,0,,09/18/2023 08:32:45 PM,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,0,0
12526,MIRAMAR AVE BETWEEN HOLLOWAY AVE AND DE MONTFORT AVE,2,2,308,0,2,3,19160,intact squares of glass,0,0,9,12,2,1,3,0,0,0,0,0,0,,,0,0,,0,,0,,09/18/2023 08:48:21 PM,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,0,0
6747,MISSION ST BETWEEN 15TH ST AND 16TH ST,1,3,326,0,3,2,1617,,0,101,45,5,1,,3,0,0,0,1,0,0,,,1,0,2,0,,1,125,09/19/2023 07:04:23 PM,20 - Mission,July 2023 - June 2024,0,0,0,0
4601,20TH ST BETWEEN BRYANT ST AND FLORIDA ST,2,4,330,0,4,1,17,,0,4,5,1,1,,1,0,0,0,0,0,0,,,0,0,,0,,0,,09/19/2023 09:25:50 PM,20 - Mission,July 2023 - June 2024,0,0,0,0
12768,MARIPOSA ST BETWEEN UTAH ST AND POTRERO AVE,2,2,332,0,3,1,2,,0,3,24,13,1,,1,0,0,0,0,0,0,,,0,0,,0,,0,,09/19/2023 09:54:31 PM,20 - Mission,July 2023 - June 2024,0,0,0,0
9086,LAGUNA ST BETWEEN GEARY BLVD AND POST ST,1,2,337,0,2,2,24,,0,0,10,1,1,,1,0,0,0,0,0,0,,,0,1,3,0,,0,,09/21/2023 04:44:45 PM,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0
9895,POLK ST BETWEEN VALLEJO ST AND BONITA ST,1,2,1343,0,2,5,517,,0,1,8,0,2,1,0,0,0,0,0,0,0,,,0,0,,0,,0,,09/21/2023 06:53:21 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0
9283,IVY ST BETWEEN BUCHANAN ST AND WEBSTER ST,2,3,1349,0,3,3,194,,0,18,24,19,1,,0,0,0,0,0,0,0,,,1,1,3,0,,0,,09/21/2023 07:38:38 PM,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,0,0
15015,PINE ST BETWEEN ORBEN PL AND FILLMORE ST,2,3,1353,0,3,1,0,Animal skin like deer skin,0,0,7,2,2,1,1,0,0,0,0,0,0,,,1,0,1,0,,0,,09/21/2023 08:17:53 PM,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0
8293,BROADWAY BETWEEN START: 1050-1099 BLOCK AND JONES ST,2,2,1358,0,2,1,17,,0,8,2,0,2,1,0,0,0,0,0,0,0,,,1,0,2,0,,0,,09/21/2023 09:03:34 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0
7139,MIRAMAR AVE BETWEEN DE MONTFORT AVE AND OCEAN AVE,1,3,1369,0,4,2,1719,,0,0,4,4,1,,1,0,0,0,0,0,0,,,0,1,1,0,,0,,09/25/2023 06:43:31 PM,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,0,0
6912,MOUNT VERNON AVE BETWEEN LOUISBURG ST AND HOWTH ST,2,2,1377,0,3,2,16,,0,0,4,1,4,1,6,0,0,0,0,0,0,,,1,0,1,0,,0,,09/25/2023 07:33:03 PM,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,0,0
13101,LINCOLN WAY BETWEEN 04TH AVE AND 05TH AVE,2,2,1379,0,2,1,0,Rug,0,46,15,2,2,1,0,0,0,0,1,0,0,,,0,1,2,0,,1,56,09/25/2023 07:43:54 PM,8 - Inner Sunset,July 2023 - June 2024,0,0,0,0
13158,LAWTON ST BETWEEN 16TH AVE AND 17TH AVE,2,2,1399,0,2,1,4,,0,0,8,0,2,1,0,0,0,0,0,0,0,,,1,0,1,0,,0,,09/25/2023 10:04:55 PM,8 - Inner Sunset,July 2023 - June 2024,0,0,0,0
13383,JUDAH ST BETWEEN 16TH AVE AND 17TH AVE,2,2,1404,0,1,3,217,,0,0,6,0,2,1,0,0,0,0,0,0,0,,,0,0,,0,,0,,09/25/2023 10:52:25 PM,8 - Inner Sunset,July 2023 - June 2024,0,0,0,0
9782,LAMARTINE ST BETWEEN CAYUGA AVE AND STILL ST,2,2,1405,0,2,1,4,,0,0,1,3,1,,1,0,0,0,0,0,0,,,1,0,2,0,,0,,09/25/2023 11:00:04 PM,4 - Outer Mission,July 2023 - June 2024,0,0,0,0
10170,CHURCH ST BETWEEN 30TH ST AND RANDALL ST,2,2,1408,0,2,6,51916,,0,0,1,0,1,,0,0,0,0,0,0,0,,,1,1,3,0,,0,,09/26/2023 04:55:12 PM,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,0,0
15672,WALLER ST BETWEEN DIVISADERO ST AND ALPINE TER,2,2,1418,0,3,1,19,,0,5,0,1,1,,2,0,0,0,0,0,0,,,1,1,2,0,,0,,09/26/2023 07:33:41 PM,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,0,0
9014,LAWRENCE AVE BETWEEN ALEMANY BLVD AND DE WOLF ST,2,2,1442,0,3,4,41617,,0,5,8,0,2,1,0,0,0,0,0,0,0,,,0,0,,0,,0,,09/26/2023 10:21:40 PM,4 - Outer Mission,July 2023 - June 2024,0,0,0,0
4703,ALEMANY BLVD BETWEEN LAWRENCE AVE AND DE WOLF ST,2,2,1445,0,2,11,1625,"Auto bumper, tires, anti freeze bottles",0,0,37,0,2,1,0,0,0,0,0,0,0,,,1,0,2,0,,0,,09/26/2023 10:47:05 PM,4 - Outer Mission,July 2023 - June 2024,0,0,0,0
15504,WHITTIER ST BETWEEN CRESCIO CT AND BRUNSWICK ST,2,2,1448,0,2,2,15,,0,0,2,1,1,,3,0,0,0,0,0,0,,,0,0,,0,,0,,09/27/2023 04:21:05 PM,5 - Excelsior,July 2023 - June 2024,0,0,0,0
6384,MISSION ST BETWEEN FAIR AVE AND 29TH ST,1,2,1466,0,5,1,15,,0,53,67,0,5,2,0,0,0,0,1,0,0,,,1,0,3,0,,0,,09/28/2023 07:37:29 PM,3 - Bernal Heights,July 2023 - June 2024,0,0,0,0
199,SANCHEZ ST BETWEEN 25TH ST AND CLIPPER ST,2,2,1478,0,2,1,5,,0,0,4,0,2,1,0,0,0,0,0,0,0,,,1,1,2,0,,0,,10/02/2023 09:03:20 PM,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,0,0
865,ELIZABETH ST BETWEEN NOE ST AND CASTRO ST,2,2,1482,0,2,2,515,,0,16,14,0,2,1,0,0,0,0,0,0,0,,,1,0,2,0,,0,,10/02/2023 10:37:25 PM,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,0,0
11752,SAWYER ST BETWEEN SUNNYDALE AVE AND SUNRISE WAY,2,3,1487,0,3,2,1716,,0,0,2,0,1,,0,0,0,0,0,0,1,12,,1,1,2,0,,0,,10/03/2023 03:15:09 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
14061,SCHWERIN ST BETWEEN GARRISON AVE AND KELLOCH AVE,1,4,1488,0,4,4,1716,,0,2,1,2,1,,0,0,0,0,0,0,0,,,0,0,,0,,0,,10/03/2023 03:27:29 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
1563,SUNNYDALE AVE BETWEEN CORA ST AND DELTA ST,2,2,1489,0,2,1,19,,0,0,1,1,4,1,2,0,0,0,0,0,0,,,1,0,2,0,,0,,10/03/2023 03:37:10 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
11103,SUNNYDALE AVE BETWEEN RUTLAND ST AND CORA ST,2,2,1490,0,2,1,19,,0,0,1,1,1,,1,0,0,0,0,0,0,,,0,1,2,0,,1,5,10/03/2023 03:45:44 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
12036,PEABODY ST BETWEEN LELAND AVE AND VISITACION AVE,2,2,1492,0,2,4,17,,0,0,2,0,1,,4,0,0,0,1,0,0,,,1,1,2,0,,0,,10/03/2023 04:10:23 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
13470,ARLETA AVE BETWEEN BAY SHORE BLVD AND ALPHA ST,2,2,1493,0,2,1,16,,0,0,3,3,2,1,0,0,0,0,0,0,0,,,1,0,2,0,,0,,10/03/2023 04:26:42 PM,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,0,0
